2025-04-22T09:12:01 | INFO     | trading_bot.cli | Command: place  args: {'command': 'place', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'price': None, 'stop_price': None, 'yes': True, 'log_level': 'INFO'}
2025-04-22T09:12:01 | INFO     | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-04-22T09:12:01 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'newOrderRespType': 'RESULT', 'timestamp': 1745314321482}
2025-04-22T09:12:01 | INFO     | trading_bot.orders | Placing order — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=N/A
2025-04-22T09:12:02 | DEBUG    | trading_bot.client | ← HTTP 200  body={"orderId":4046119622,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_abc123def456","price":"0","avgPrice":"64823.50000","origQty":"0.001","executedQty":"0.001","cumQuote":"64.82350","timeInForce":"GTC","type":"MARKET","side":"BUY","stopPrice":"0","workingType":"CONTRACT_PRICE","origType":"MARKET","positionSide":"BOTH","activatePrice":null,"priceRate":null,"updateTime":1745314322091,"closePosition":false,"priceProtect":false}
2025-04-22T09:12:02 | INFO     | trading_bot.client | Order placed — orderId=4046119622 status=FILLED
2025-04-22T09:12:02 | INFO     | trading_bot.cli | Command: place  args: {'command': 'place', 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '67000', 'stop_price': None, 'yes': False, 'log_level': 'INFO'}
2025-04-22T09:14:05 | INFO     | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-04-22T09:14:05 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '67000', 'timeInForce': 'GTC', 'newOrderRespType': 'RESULT', 'timestamp': 1745314445871}
2025-04-22T09:14:05 | INFO     | trading_bot.orders | Placing order — symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=67000
2025-04-22T09:14:06 | DEBUG    | trading_bot.client | ← HTTP 200  body={"orderId":4046119755,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_xyz789ghi012","price":"67000","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","stopPrice":"0","workingType":"CONTRACT_PRICE","origType":"LIMIT","positionSide":"BOTH","activatePrice":null,"priceRate":null,"updateTime":1745314446203,"closePosition":false,"priceProtect":false}
2025-04-22T09:14:06 | INFO     | trading_bot.client | Order placed — orderId=4046119755 status=NEW
2025-04-22T09:16:22 | INFO     | trading_bot.cli | Command: place  args: {'command': 'place', 'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'price': None, 'stop_price': '2900', 'yes': True, 'log_level': 'INFO'}
